mes_competencia,central,lo_conf,hi_conf,u_pct
202601,18156988,17541760,18772216,3.39
202602,17969571,17172468,18766674,4.44
202603,17784481,16809301,18759661,5.48
202604,17547473,16493649,18601297,6.01
202605,17246242,16120441,18372043,6.53
202606,16914997,15722482,18107512,7.05
202607,16703592,15466953,17940231,7.40
202608,16468549,15191113,17745985,7.76
202609,16275768,14955769,17595767,8.11
202610,16187768,14817701,17557835,8.46
202611,16152027,14727906,17576148,8.82
202612,16122736,14644221,17601251,9.17
202701,16113818,14579177,17648459,9.52
202702,16102012,14511593,17692431,9.88
202703,16056079,14413457,17698701,10.23
202704,15967852,14277827,17657877,10.58
202705,15850670,14117033,17584307,10.94
202706,15718237,13943539,17492935,11.29
202707,15583109,13768599,17397619,11.64
202708,15476284,13619521,17333047,12.00
202709,15415318,13511394,17319242,12.35
202710,15402791,13445982,17359600,12.70
202711,15434893,13419461,17450325,13.06
202712,15498658,13420130,17577186,13.41
202801,15571237,13427948,17714526,13.76
202802,15627249,13421026,17833472,14.12
202803,15648340,13383840,17912840,14.47
202804,15626052,13309557,17942547,14.82
202805,15563381,13201177,17925585,15.18
202806,15475661,13072082,17879240,15.53
202807,15385927,12941913,17829941,15.88
202808,15316942,12829758,17804126,16.24
202809,15285983,12749808,17822158,16.59
202810,15301019,12708277,17893761,16.94
202811,15358286,12701566,18015006,17.30
202812,15442971,12717028,18168914,17.65
