cod_municipio,ano,populacao,rais_vinculos,rais_massa_sm
1,2010,,3660,9402.94
1,2011,,3706,8752.94
1,2012,,3881,9123.26
1,2013,45761,4016,8575.06
1,2014,46203,4163,8906.11
1,2015,46632,4142,9073.64
1,2016,47048,3930,8217.06
1,2017,47451,4102,8698.95
1,2018,45783,4120,8585.02
1,2019,46174,3782,8442.43
1,2020,46556,3795,8182.64
1,2021,46930,4055,8903.51
1,2022,39387,5085,10579.67
1,2023,41470,4999,916736.00
1,2024,43553,5274,979290.00
10,2010,,456,897.24
10,2011,,382,1331.32
10,2012,,467,737.66
10,2013,7883,427,768.99
10,2014,7853,475,773.50
10,2015,7824,502,849.49
10,2016,7796,473,706.74
10,2017,7769,538,860.07
10,2018,7047,544,866.38
10,2019,6970,424,718.73
10,2020,6895,470,960.60
10,2021,6822,487,915.26
10,2022,6200,708,1195.59
10,2023,6389,749,115343.00
10,2024,6577,757,113716.00
100,2010,,448,917.46
100,2011,,460,1224.98
100,2012,,371,711.51
100,2013,2695,444,1017.37
100,2014,2716,465,1002.73
100,2015,2737,454,871.45
100,2016,2757,449,859.46
100,2017,2777,517,1027.75
100,2018,2773,561,1111.17
100,2019,2793,572,1151.36
100,2020,2812,434,946.56
100,2021,2831,516,1012.97
100,2022,2456,609,1193.90
100,2023,2483,597,117375.00
100,2024,2509,574,112832.00
1000,2010,,358,977.61
1000,2011,,618,2248.25
1000,2012,,348,1177.96
1000,2013,3221,297,626.69
1000,2014,3229,126,258.47
1000,2015,3236,284,649.52
1000,2016,3243,292,728.48
1000,2017,3249,360,834.62
1000,2018,3220,417,1069.20
1000,2019,3226,376,868.11
1000,2020,3232,368,862.73
1000,2021,3237,418,963.37
1000,2022,3180,529,1108.10
1000,2023,3215,544,88671.00
1000,2024,3250,576,90800.00
1001,2010,,141,341.95
1001,2011,,175,350.25
1001,2012,,182,424.47
1001,2013,5097,180,376.35
1001,2014,5087,161,368.31
1001,2015,5078,163,290.43
1001,2016,5069,33,78.00
1001,2017,5062,140,204.16
1001,2018,5148,160,289.32
1001,2019,5139,150,270.13
1001,2020,5131,58,87.07
1001,2021,5123,179,317.95
1001,2022,4940,264,515.05
1001,2023,4982,191,49474.00
1001,2024,5023,194,90786.00
1002,2010,,625,1626.68
1002,2011,,642,1726.19
1002,2012,,544,1431.04
1002,2013,3116,621,1760.59
1002,2014,3127,612,1727.13
1002,2015,3137,712,1887.60
1002,2016,3147,694,1918.43
1002,2017,3156,837,2150.68
1002,2018,3151,823,2233.89
1002,2019,3162,772,1872.71
1002,2020,3173,781,1916.24
1002,2021,3184,876,2190.04
1002,2022,2879,776,1941.76
1002,2023,2909,956,231151.00
1002,2024,2938,862,211870.00
1003,2010,,985,1715.75
1003,2011,,1162,2007.12
1003,2012,,1182,1979.53
1003,2013,16869,1454,2389.20
1003,2014,16944,1491,2509.10
1003,2015,17010,1683,2887.30
1003,2016,17068,1546,2733.53
1003,2017,17119,1570,2552.69
1003,2018,17349,1541,3123.87
1003,2019,17411,1492,3166.35
1003,2020,17470,1396,3365.36
1003,2021,17525,1735,4006.85
1003,2022,17573,1795,3727.39
1003,2023,17803,1837,381289.00
1003,2024,18033,1937,381511.00
1004,2010,,629,1645.19
1004,2011,,660,1592.14
1004,2012,,630,1507.83
