actual,ae_persistence,ae_linear,ae_deep,ae_linear_mv,ae_deep_mv
943,72,16.0582,0.964075,11.7953,33.0264
873,183,107.253,115.806,102.425,54.8136
888,158,92.5519,156.469,87.4855,170.438
922,126,51.768,94.3826,46.5635,70.6479
923,105,48.718,56.7778,43.5275,21.6323
939,101,56.0222,151.753,50.9287,69.8153
1015,32,11.0444,39.5816,13.3843,48.9636
1056,1,31.5594,19.0358,33.6289,74.1459
1046,25,15.4203,1.7199,17.2411,34.8902
1048,29,50.2627,37.7293,52.1187,28.6803
1028,2,18.2448,9.71307,20.2631,34.8218
1040,15,54.9575,48.3081,57.1615,33.087
123,3,0.035197,2.81754,0.222282,1.9078
102,22,19.3597,17.8422,19.1591,16.5173
113,11,8.52713,9.79469,8.31886,6.1298
120,8,4.34447,9.38947,4.12208,4.31972
119,4,2.30543,3.18692,2.09304,0.0279028
119,9,7.14934,9.21422,6.92328,4.73685
126,5,2.59644,0.873144,2.30864,2.65566
124,3,2.98991,1.98102,2.70929,2.91968
124,2,2.51823,0.737273,2.23261,2.79911
128,3,2.6475,6.95488,2.34649,6.09996
123,6,6.62693,13.4012,6.31551,6.02697
128,2,1.50939,5.72278,1.1788,2.31608
422,72,62.5274,59.0364,62.5796,60.548
421,85,69.791,83.6231,69.8018,77.6604
435,70,57.6474,63.3976,57.6238,60.1734
452,58,44.157,53.5581,44.1184,47.3717
457,55,42.0104,39.8191,41.9592,40.7879
451,60,49.9642,62.1297,49.9486,53.1724
494,31,17.4675,35.0041,17.4489,21.7098
506,16,6.4845,15.2703,6.5044,0.237975
505,26,13.9733,24.1415,14.0002,14.5384
510,18,6.42342,13.321,6.46128,7.70399
512,18,7.39071,21.209,7.40533,14.1743
511,23,9.23256,21.5129,9.22198,7.91579
167,16,14.2978,9.69955,14.5924,9.76281
167,21,17.4479,16.4068,17.7354,16.0673
171,17,13.255,15.1442,13.5253,13.6857
177,11,8.07542,8.32908,8.33669,8.84577
175,15,12.3549,11.8635,12.6107,11.3361
176,13,11.4055,12.7937,11.6643,9.85692
183,10,8.15926,10.5097,8.36026,6.70641
188,5,3.35853,12.0681,3.57179,2.52152
188,4,3.21637,3.53851,3.43018,0.359541
188,4,3.10466,1.73373,3.32621,1.66569
190,2,0.425685,5.79717,0.633831,1.88641
189,2,1.03013,7.34539,1.2274,4.75633
2301,86,81.5348,70.4819,81.8447,51.8842
2277,134,120.17,127.256,120.335,136.867
2311,100,84.309,114.568,84.3933,103.742
2328,80,62.547,59.5798,62.6708,48.959
2328,80,59.685,40.43,59.8426,33.2256
2334,71,54.7483,38.4146,55.1111,68.6573
2387,21,1.86544,0.7937,0.413765,18.9975
2411,19,37.4299,74.813,35.8064,92.1551
2411,28,37.1892,124.426,35.4975,90.8824
2408,18,35.2739,94.4972,33.4806,87.5724
2408,22,39.3985,89.9547,37.5778,92.6342
2405,23,50.612,112.786,48.8068,113.898
2125,179,169.926,149.257,169.126,140.669
2063,246,228.766,193.671,227.921,223.416
2125,186,166.109,183.628,165.186,162.719
2155,151,131.445,129.779,130.539,115.748
2176,136,117.94,126.273,117.049,102.539
2195,111,95.3765,89.9866,94.671,100.717
2304,36,9.80367,34.1912,9.23473,5.14902
2309,10,6.07183,12.4037,6.4509,26.0701
2311,6,7.8615,50.665,8.19227,40.8221
2306,3,10.3686,25.4203,10.6806,28.2605
2312,3,5.63815,3.92421,6.00581,1.03445
2306,8,4.41767,13.9845,4.86675,5.24195
1556,143,110.419,132.621,110.415,125.132
1515,209,163.925,212.205,163.833,196.675
1556,179,131.344,168.145,131.173,164.424
1601,135,89.3986,118.542,89.227,92.6549
1622,126,79.3463,98.9747,79.1302,75.1096
1638,108,71.8507,107.392,71.7224,71.3889
1699,72,28.5543,56.7181,28.4866,34.2079
1724,30,0.778188,1.22601,0.76086,28.8884
1735,34,6.6722,2.30374,6.70519,6.94383
1736,58,21.9116,21.9637,21.9154,25.1077
1748,50,19.2949,55.2354,19.2246,33.5699
1746,66,24.2846,63.8021,24.1304,38.8883
2587,71,59.914,32.7599,67.6572,54.5346
2565,115,91.7866,100.93,99.5405,96.2541
2596,81,58.8889,68.9836,66.5317,99.1588
2607,74,52.6236,50.7058,60.3523,49.6533
2605,71,45.3214,48.7561,53.0361,39.4903
2604,65,42.08,49.7493,49.9209,29.9671
2658,22,5.71741,24.3683,13.2676,54.9324
2680,14,27.7974,99.3387,20.0399,28.652
2677,14,30.5587,89.0242,22.8395,105.263
2681,10,30.1423,33.6797,22.3594,88.7128
2676,5,1.24734,16.4241,9.07639,32.0112
2669,27,4.00327,52.6582,3.75523,28.5309
541,80,51.9336,61.3278,51.5197,57.9564
534,120,78.9969,111.949,78.475,100.725
546,101,60.6545,102.837,60.1066,88.6813
568,80,39.0096,69.9258,38.4079,55.61
565,85,48.7146,74.2382,48.1013,42.7653
576,82,43.2504,74.1102,42.7056,63.5828
621,32,5.30479,34.1858,5.64952,6.40969
654,5,36.5488,3.67615,36.8046,28.5422
647,7,36.8789,17.2597,37.085,29.502
648,22,49.6268,51.1922,49.791,59.7249
650,18,46.8133,32.9518,47.0115,38.2639
658,23,54.079,19.9089,54.3545,56.9593
2108,145,19.0292,32.341,7.42535,61.7052
2009,293,134.381,214.208,122.476,143.753
2035,259,97.8231,205.358,85.7968,99.7601
2084,208,52.7007,109.66,40.4949,39.651
2102,160,32.4801,80.1633,20.1162,16.7259
2139,137,24.4065,63.9397,11.9115,37.1983
2253,61,60.1729,68.9714,72.7388,42.6654
2302,57,136.897,97.5784,149.117,224.842
2294,36,111.162,118.607,123.445,202.945
2292,9,89.9913,167.202,102.329,136.648
2262,27,67.4273,69.7142,79.8164,76.5414
2276,23,89.0531,10.6551,101.584,93.263
2446,200,195.315,147.55,196.989,147.164
2444,223,206.64,189.668,208.167,192.218
2490,181,167.693,184.669,169.128,166.762
2539,143,121.166,136.874,122.591,114.604
2560,110,94.6948,82.008,96.1037,76.1766
2553,115,107.157,99.0681,108.713,117.118
