mes_competencia,actual,persistence,linear,deep,linear_mv,deep_mv
202501,20314164,20481565,19573395,19987980,19501592,20006906
202502,20330074,20441614,19644524,19937716,19574690,20074639
202503,20237378,20440554,19633358,19656073,19564295,19765813
202504,20220091,20435913,19650489,19565705,19580754,19471923
202505,20227711,20381268,19587378,19980589,19516505,19543433
202506,19752779,20513129,19594727,20197449,19521171,19790684
202507,18843744,20314164,19429477,20302942,19355341,19787038
202508,18684745,20330074,19354401,19725060,19278541,19580297
202509,18679424,20237378,19240893,19975665,19165715,19625573
202510,18194843,20220091,19211360,20077995,19137139,20051405
202511,17947532,20227711,19212841,19970615,19140404,19896764
202512,18401764,19752779,18966079,19300547,18897770,19424817
