ano,real_2021,nominal,familias,benef_medio_real
2013,40967612636.77412,24890107091.0,13782974.166666666,247.69455985687486
2014,42074101680.53054,27190053765.0,14043483.333333334,249.66563186798706
2015,39298724124.578995,27650301339.0,13864481.166666666,236.20744531874954
2016,37205281387.02273,28506168795.0,13832497.416666666,224.1417454992279
2017,36665302782.91318,29046112934.0,13469387.833333334,226.84341236464
2018,37286897496.14649,30625641619.0,13954170.916666666,222.67474553439516
2019,36582876841.095535,31159235696.0,13783103.666666666,221.1819009577665
2020,36395938197.86651,32001518082.0,14000435.416666666,216.63575164323913
2021,38563972389.570946,36872583520.0,14538462.75,221.04567869787877
2022,66687171584.5616,69560549639.0,18538521.333333332,299.7684766109789
2023,138387682874.76382,150819546984.0,20546763.833333332,561.2712055180816
2024,143901993826.0563,163452052989.0,20494344.25,585.1288859285179
2025,131755562749.30331,157102388725.0,19380308.5,566.5353690891252
